罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,尼崎北,西昆陽,282022,兵庫県,尼崎市,武庫之荘９丁目,2019-09-16,22,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎北,西武庫,282022,兵庫県,尼崎市,武庫元町２丁目,2019-08-25,08,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,尼崎北,立花駅前,282022,兵庫県,尼崎市,水堂町１丁目,2019-09-26,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,尼崎北,立花駅前,282022,兵庫県,尼崎市,南武庫之荘３丁目,2019-06-27,07,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊丹,北村,282073,兵庫県,伊丹市,昆陽５丁目,2019-03-21,22,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,伊丹,昆陽ノ里,282073,兵庫県,伊丹市,寺本４丁目,2019-09-09,20,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,伊丹,中野,282073,兵庫県,伊丹市,中野北３丁目,2019-08-13,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,伊丹,中野,282073,兵庫県,伊丹市,西野２丁目,2019-09-28,19,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,伊丹,荒牧,282073,兵庫県,伊丹市,荻野７丁目,2019-03-13,21,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,伊丹,荒牧,282073,兵庫県,伊丹市,荒牧南３丁目,2018-08-17,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,川西,加茂,282171,兵庫県,川西市,下加茂２丁目,2019-06-02,15,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,川西,加茂,282171,兵庫県,川西市,下加茂２丁目,2019-06-02,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,宝塚,宝塚南口,282146,兵庫県,宝塚市,月見山１丁目,2019-06-02,12,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宝塚,宝塚駅前,282146,兵庫県,宝塚市,川面６丁目,2019-04-13,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宝塚,逆瀬川,282146,兵庫県,宝塚市,中州２丁目,2018-05-15,00,一戸建住宅,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宝塚,小浜,282146,兵庫県,宝塚市,中山寺２丁目,2019-12-04,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宝塚,安倉,282146,兵庫県,宝塚市,安倉中４丁目,2018-09-01,不明,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宝塚,安倉,282146,兵庫県,宝塚市,安倉南３丁目,2019-03-18,00,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,宝塚,山本,282146,兵庫県,宝塚市,口谷東３丁目,2017-09-15,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,宝塚,つつじガ丘,282146,兵庫県,宝塚市,南ひばりガ丘２丁目,2019-08-02,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,篠山,日置,282219,兵庫県,丹波篠山市,曽地中,2014-07-01,00,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,篠山,篠山口駅前,282219,兵庫県,丹波篠山市,大沢,2019-11-09,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,本町,282031,兵庫県,明石市,岬町,2019-10-30,10,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,大蔵,282031,兵庫県,明石市,東人丸町,2019-07-02,21,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,明石,西新町,282031,兵庫県,明石市,田町１丁目,2019-05-03,15,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,明石,小久保,282031,兵庫県,明石市,小久保２丁目,2019-12-29,12,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,小久保,282031,兵庫県,明石市,西明石北町３丁目,2019-10-25,18,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,小久保,282031,兵庫県,明石市,和坂,2018-08-01,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,大久保南,282031,兵庫県,明石市,大久保町福田１丁目,2019-04-16,20,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,明石,大久保南,282031,兵庫県,明石市,大久保町ゆりのき通１丁目,2019-09-15,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,高丘,282031,兵庫県,明石市,大久保町高丘５丁目,2019-05-11,20,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,高丘,282031,兵庫県,明石市,大久保町山手台２丁目,2019-05-27,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,明石,魚住,282031,兵庫県,明石市,魚住町西岡,2019-09-25,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,西明石,282031,兵庫県,明石市,西明石南町２丁目,2019-03-17,02,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,西明石,282031,兵庫県,明石市,西明石南町３丁目,2019-09-26,00,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,明石,朝霧町,282031,兵庫県,明石市,東野町,2019-02-06,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三木,別所,282154,兵庫県,三木市,別所町下石野,2018-11-27,16,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,西脇,中町,283657,兵庫県,多可町,中区中村町,2019-11-04,16,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加古川,野口,282103,兵庫県,加古川市,平岡町新在家,2019-02-05,12,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加古川,別府,282103,兵庫県,加古川市,別府町新野辺北町７丁目,2019-01-23,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加古川,別府,282103,兵庫県,加古川市,別府町別府,2019-11-17,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加古川,別府,282103,兵庫県,加古川市,別府町緑町,2019-07-29,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加古川,土山,282103,兵庫県,加古川市,平岡町高畑,2019-12-03,22,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加古川,本荘,283827,兵庫県,播磨町,古宮,2019-12-08,18,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加古川,八幡,282103,兵庫県,加古川市,上荘町都染,2019-01-08,01,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加古川,神吉,282103,兵庫県,加古川市,西神吉町岸,2018-05-01,00,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,加古川,野添,283827,兵庫県,播磨町,南野添２丁目,2019-01-27,00,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,高砂,米田,282162,兵庫県,高砂市,米田町米田,2019-02-17,21,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,姫路,姫路駅前,282014,兵庫県,姫路市,東駅前町,2019-11-08,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,姫路,姫路駅南,282014,兵庫県,姫路市,豊沢町,2019-08-12,15,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,姫路,姫路駅南,282014,兵庫県,姫路市,北条,2019-11-05,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,姫路,京口,282014,兵庫県,姫路市,京口町,2019-03-27,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,姫路,野里,282014,兵庫県,姫路市,野里新町,2019-09-01,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,姫路,花田,282014,兵庫県,姫路市,花田町勅旨,2019-04-28,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,姫路,田寺,282014,兵庫県,姫路市,御立北１丁目,2019-08-09,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,姫路,書写,282014,兵庫県,姫路市,刀出,2019-11-18,09,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,姫路,香寺,282014,兵庫県,姫路市,香寺町恒屋,2019-06-04,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,飾磨,的形,282014,兵庫県,姫路市,的形町的形,2019-08-01,00,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,飾磨,白浜,282014,兵庫県,姫路市,的形町的形,2019-08-29,07,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,飾磨,宮,282014,兵庫県,姫路市,飾磨区恵美酒,2019-10-30,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,飾磨,手柄,282014,兵庫県,姫路市,手柄２丁目,2019-12-12,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,飾磨,別所,282014,兵庫県,姫路市,別所町別所,2019-04-29,07,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,飾磨,井ノ口,282014,兵庫県,姫路市,中地南町,2019-04-30,09,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,網干,吉美,282014,兵庫県,姫路市,大津区勘兵衛町３丁目,2019-07-08,19,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,たつの,室津,282294,兵庫県,たつの市,御津町室津,2019-02-28,20,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,相生,中央通,282081,兵庫県,相生市,相生２丁目,2019-12-14,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,赤穂,塩屋,282120,兵庫県,赤穂市,板屋町,2019-03-07,09,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,豊岡南,庄境,282090,兵庫県,豊岡市,庄境,2019-09-01,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,淡路,尾崎,282260,兵庫県,淡路市,遠田,2019-10-22,11,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,南あわじ,倭文,282243,兵庫県,南あわじ市,倭文神道,2019-10-22,11,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,三田南,282197,兵庫県,三田市,三田町,2019-02-09,15,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,三田,三田南,282197,兵庫県,三田市,三田町,2019-02-12,19,一戸建住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江北町１丁目,2019-01-16,22,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,2019-10-31,13,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江本町１丁目,2019-10-31,22,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,深江,281018,兵庫県,神戸市東灘区,深江南町１丁目,2015-04-15,18,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,森,281018,兵庫県,神戸市東灘区,本山中町３丁目,2019-05-08,14,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,森,281018,兵庫県,神戸市東灘区,本山南町６丁目,2019-09-23,21,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,岡本,281018,兵庫県,神戸市東灘区,岡本５丁目,2019-02-27,09,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,田中,281018,兵庫県,神戸市東灘区,田中町１丁目,2018-12-20,22,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,青木６丁目,2019-11-16,10,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,青木駅前,281018,兵庫県,神戸市東灘区,北青木１丁目,2018-11-15,18,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町１丁目,2019-12-01,00,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町１丁目,2019-12-20,10,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町３丁目,2019-07-01,06,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,魚崎,281018,兵庫県,神戸市東灘区,魚崎南町５丁目,2019-12-25,22,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,住吉東町４丁目,2014-08-20,00,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,ＪＲ住吉駅前,281018,兵庫県,神戸市東灘区,御影本町７丁目,2018-05-10,16,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,呉田,281018,兵庫県,神戸市東灘区,魚崎西町２丁目,2019-11-13,13,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,呉田,281018,兵庫県,神戸市東灘区,住吉南町１丁目,2019-02-23,21,一戸建住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,呉田,281018,兵庫県,神戸市東灘区,御影本町２丁目,2012-08-11,00,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,石屋川,281018,兵庫県,神戸市東灘区,御影石町２丁目,2019-02-21,20,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町１丁目,2012-12-01,不明,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町１丁目,2017-08-01,不明,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町１丁目,2019-01-25,19,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町４丁目,2019-01-26,18,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,沢ノ井,281018,兵庫県,神戸市東灘区,御影中町７丁目,2018-12-25,09,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,東灘,鴨子ヶ原,281018,兵庫県,神戸市東灘区,住吉山手７丁目,2019-01-04,10,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町東１丁目,2019-04-29,08,その他,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東灘,六甲アイランド,281018,兵庫県,神戸市東灘区,向洋町中５丁目,2015-04-01,09,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
窃盗,オートバイ盗,灘,徳井,281026,兵庫県,神戸市灘区,徳井町１丁目,2015-04-20,00,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,徳井,281026,兵庫県,神戸市灘区,大和町１丁目,2019-01-25,11,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,徳井,281026,兵庫県,神戸市灘区,弓木町３丁目,2019-02-10,18,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,篠原北町,281026,兵庫県,神戸市灘区,篠原北町３丁目,2019-01-23,05,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,篠原北町,281026,兵庫県,神戸市灘区,篠原本町２丁目,2019-01-18,20,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,高徳町５丁目,2018-01-10,15,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,永手町５丁目,2019-04-23,11,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,深田町４丁目,2018-12-28,20,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,宮山町３丁目,2018-12-27,15,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,宮山町３丁目,2019-06-22,13,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,八幡町２丁目,2019-01-11,17,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,八幡町４丁目,2019-01-07,23,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,八幡,281026,兵庫県,神戸市灘区,八幡町４丁目,2019-01-20,17,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,上河原通３丁目,2019-03-16,16,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,神前町２丁目,2018-08-20,18,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,篠原南町３丁目,2019-01-06,23,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,篠原南町３丁目,2019-03-30,10,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,六甲,281026,兵庫県,神戸市灘区,六甲町１丁目,2019-01-29,05,その他の住宅（３階建て以下共同住宅等）,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,水道筋２丁目,2019-12-07,09,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,水道筋,281026,兵庫県,神戸市灘区,中原通６丁目,2019-05-11,13,道路上,キーなし,なし,なし
窃盗,オートバイ盗,灘,赤坂,281026,兵庫県,神戸市灘区,赤坂通１丁目,2018-12-01,07,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,赤坂,281026,兵庫県,神戸市灘区,国玉通１丁目,2019-07-25,18,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,赤坂,281026,兵庫県,神戸市灘区,城の下通３丁目,2019-01-10,19,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,王子公園,281026,兵庫県,神戸市灘区,城内通５丁目,2018-12-20,07,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,王子公園,281026,兵庫県,神戸市灘区,灘北通８丁目,2019-01-15,12,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,大石東町２丁目,2019-06-14,16,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,記田町５丁目,2019-02-09,12,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,桜口町２丁目,2018-10-01,09,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,友田町４丁目,2019-09-16,09,４階建て以上共同住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,備後町３丁目,2018-08-10,12,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,備後町５丁目,2019-01-18,13,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,桜口,281026,兵庫県,神戸市灘区,深田町３丁目,2018-08-01,09,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,琵琶町,281026,兵庫県,神戸市灘区,烏帽子町２丁目,2018-06-01,00,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,琵琶町,281026,兵庫県,神戸市灘区,大石東町２丁目,2019-07-02,19,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,岩屋北町５丁目,2019-06-11,05,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,船寺通４丁目,2018-10-19,20,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,西灘,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2019-01-26,23,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,篠原台,2019-08-10,23,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,水車新田字滝ノ下,2019-12-20,16,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,鶴甲４丁目,2019-02-27,22,４階建て以上共同住宅,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,灘,鶴甲,281026,兵庫県,神戸市灘区,六甲台町,2018-06-06,10,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,ＨＡＴ神戸灘の浜,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2019-02-05,15,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,ＨＡＴ神戸灘の浜,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2019-05-01,17,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,灘,ＨＡＴ神戸灘の浜,281026,兵庫県,神戸市灘区,摩耶海岸通２丁目,2019-09-30,14,その他,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葺合,中尾前,281107,兵庫県,神戸市中央区,籠池通３丁目,2019-07-10,12,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,熊内,281107,兵庫県,神戸市中央区,加納町１丁目,2019-03-01,20,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葺合,熊内,281107,兵庫県,神戸市中央区,東雲通５丁目,2019-02-16,18,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葺合,割塚,281107,兵庫県,神戸市中央区,筒井町３丁目,2017-03-10,14,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,割塚,281107,兵庫県,神戸市中央区,筒井町３丁目,2017-07-15,14,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,割塚,281107,兵庫県,神戸市中央区,筒井町３丁目,2018-08-14,16,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,割塚,281107,兵庫県,神戸市中央区,日暮通６丁目,2015-09-15,00,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,割塚,281107,兵庫県,神戸市中央区,八雲通１丁目,2019-06-13,18,駐車（輪）場,キーなし,あり,自動二輪（50cc超）
窃盗,オートバイ盗,葺合,ＨＡＴ神戸,281107,兵庫県,神戸市中央区,脇浜海岸通３丁目,2019-03-29,17,駐車（輪）場,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葺合,二宮,281107,兵庫県,神戸市中央区,生田町４丁目,2019-03-01,21,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,二宮,281107,兵庫県,神戸市中央区,布引町３丁目,2013-01-01,00,４階建て以上共同住宅,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,三宮センター,281107,兵庫県,神戸市中央区,旭通５丁目,2019-03-22,01,道路上,キーなし,なし,自動二輪（50cc超）
窃盗,オートバイ盗,葺合,小野柄,281107,兵庫県,神戸市中央区,北本町通３丁目,2018-12-25,12,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,小野柄,281107,兵庫県,神戸市中央区,日暮通３丁目,2019-01-12,05,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,葺合,春日野,281107,兵庫県,神戸市中央区,吾妻通１丁目,2017-03-27,12,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,一宮,281107,兵庫県,神戸市中央区,加納町１丁目,2017-03-31,13,駐車（輪）場,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通１丁目,2019-12-14,19,道路上,キーなし,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,生田,生田前,281107,兵庫県,神戸市中央区,北長狭通２丁目,2019-02-15,15,道路上,キーなし,なし,自動二輪（50cc超）
