market,tf,signal,dir,N,k_range,k_vol,H,n,mean_net_pct,win_rate,t_stat,excess_pct
BTCUSD,1h,wick,long,24,1.5,2.0,4,1303,-0.11264469738683353,0.5149654643131235,-2.328060996731349,-0.04497772520605822
BTCUSD,1h,wick,long,24,1.5,2.0,24,980,-0.1758711850065316,0.5224489795918368,-1.4800295372639327,-0.2680373840656772
BTCUSD,1h,wick,short,24,1.5,2.0,4,1084,-0.15571315082359907,0.42343173431734316,-3.6797377239202085,-0.02338012300437422
BTCUSD,1h,wick,short,24,1.5,2.0,24,845,-0.4472022438155313,0.4591715976331361,-4.072228124594534,-0.1550360447563856
BTCUSD,1h,capit,long,24,1.5,3.0,4,1265,-0.01891290769241145,0.500395256916996,-0.34483111826604873,0.04875406448836385
BTCUSD,1h,capit,long,24,1.5,3.0,24,922,-0.15253153216804405,0.5195227765726681,-1.2057193168977154,-0.24469773122718963
BTCUSD,1h,capit,short,24,1.5,3.0,4,1286,-0.23597488259599803,0.45023328149300157,-5.853200181997936,-0.10364185477677315
BTCUSD,1h,capit,short,24,1.5,3.0,24,931,-0.5957698796813025,0.44038668098818473,-5.64881401300104,-0.3036036806221567
BTCUSD,1h,wick,long,24,1.5,3.0,4,918,-0.14827807899522003,0.5032679738562091,-2.7006122331353497,-0.08061110681444472
BTCUSD,1h,wick,long,24,1.5,3.0,24,735,-0.30866366488914565,0.5210884353741496,-2.302615356971927,-0.4008298639482912
BTCUSD,1h,wick,short,24,1.5,3.0,4,777,-0.1841136761325878,0.4041184041184041,-3.6193048897584483,-0.05178064831336292
BTCUSD,1h,wick,short,24,1.5,3.0,24,645,-0.4915543973778108,0.45271317829457364,-3.9377541457571534,-0.19938819831866517
BTCUSD,1h,capit,long,24,2.0,1.5,4,1295,-0.0402344450020163,0.4942084942084942,-0.7933375313041936,0.027432527178759
BTCUSD,1h,capit,long,24,2.0,1.5,24,959,-0.05068318128547783,0.5318039624608968,-0.3996977704152353,-0.1428493803446234
BTCUSD,1h,capit,short,24,2.0,1.5,4,1344,-0.2570158897914539,0.45014880952380953,-6.208861993268643,-0.12468286197222903
BTCUSD,1h,capit,short,24,2.0,1.5,24,970,-0.6100208538015602,0.4402061855670103,-5.530633307380844,-0.3178546547424145
BTCUSD,1h,wick,long,24,2.0,1.5,4,815,-0.13996114175062385,0.49938650306748467,-2.497994458718248,-0.07229416956984855
BTCUSD,1h,wick,long,24,2.0,1.5,24,685,-0.20443734962503038,0.5109489051094891,-1.446612885265836,-0.29660354868417593
BTCUSD,1h,wick,short,24,2.0,1.5,4,675,-0.193632722581125,0.42074074074074075,-3.2749456905850214,-0.06129969476190014
BTCUSD,1h,wick,short,24,2.0,1.5,24,593,-0.41660711103628384,0.47386172006745364,-3.520663562369939,-0.12444091197713797
BTCUSD,1h,capit,long,24,2.0,2.0,4,1255,-0.043561021550969574,0.49482071713147413,-0.8398652422778738,0.02410595062980573
BTCUSD,1h,capit,long,24,2.0,2.0,24,934,-0.07629013706615806,0.5331905781584583,-0.5948736971547078,-0.16845633612530367
BTCUSD,1h,capit,short,24,2.0,2.0,4,1279,-0.23947779840142652,0.45426114151681,-5.725281634090234,-0.10714477058220165
BTCUSD,1h,capit,short,24,2.0,2.0,24,933,-0.6232593239093775,0.43837084673097537,-5.636216346776767,-0.3310931248502318
BTCUSD,1h,wick,long,24,2.0,2.0,4,782,-0.14760738151714986,0.49872122762148335,-2.545498510434729,-0.07994040933637458
BTCUSD,1h,wick,long,24,2.0,2.0,24,662,-0.24088296323237748,0.5151057401812689,-1.7110684480358405,-0.33304916229152304
BTCUSD,1h,wick,short,24,2.0,2.0,4,622,-0.1731007696206108,0.41639871382636656,-3.085959268569339,-0.040767741801385954
BTCUSD,1h,wick,short,24,2.0,2.0,24,553,-0.4713095969892747,0.46473779385171793,-3.7795210659124896,-0.17914339793012896
BTCUSD,1h,capit,long,24,2.0,3.0,4,1091,-0.03582864881551905,0.4867094408799267,-0.62701924393693,0.031838323365256244
BTCUSD,1h,capit,long,24,2.0,3.0,24,824,-0.16541273483113192,0.5169902912621359,-1.1940822550298222,-0.25757893389027753
BTCUSD,1h,capit,short,24,2.0,3.0,4,1068,-0.26679497227270466,0.4438202247191011,-5.928868380498909,-0.13446194445347978
BTCUSD,1h,capit,short,24,2.0,3.0,24,813,-0.6245416858132213,0.43788437884378845,-5.334059959236594,-0.3323754867540756
BTCUSD,1h,wick,long,24,2.0,3.0,4,620,-0.2088123315947587,0.4854838709677419,-3.0854898303805003,-0.14114535941398337
BTCUSD,1h,wick,long,24,2.0,3.0,24,533,-0.4556896405559836,0.49343339587242024,-2.8654928115129006,-0.5478558396151292
BTCUSD,1h,wick,short,24,2.0,3.0,4,513,-0.19172270389491994,0.4093567251461988,-3.0207313019124835,-0.05938967607569508
BTCUSD,1h,wick,short,24,2.0,3.0,24,466,-0.504652836721416,0.4592274678111588,-3.7072148880999505,-0.21248663766227033
BTCUSD,1h,capit,long,24,3.0,1.5,4,664,-0.15017227269878,0.463855421686747,-1.9734662363862117,-0.0825053005180047
BTCUSD,1h,capit,long,24,3.0,1.5,24,559,-0.39000624599284234,0.47227191413237923,-2.387325928919661,-0.4821724450519879
BTCUSD,1h,capit,short,24,3.0,1.5,4,654,-0.2785784792654698,0.44648318042813456,-4.352044281659936,-0.14624545144624496
BTCUSD,1h,capit,short,24,3.0,1.5,24,552,-0.615994558652354,0.44565217391304346,-4.073571535973515,-0.3238283595932082
BTCUSD,1h,wick,long,24,3.0,1.5,4,261,-0.08323654445070855,0.4904214559386973,-0.8218886514064513,-0.015569572269933253
BTCUSD,1h,wick,long,24,3.0,1.5,24,250,-0.5470421074849842,0.488,-2.4927062529208057,-0.6392083065441296
