time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-24 16:00:00,99270.2080,8859727085.7088,2.8080,2.1291,2.4655,1.5694
2026-01-24 17:00:00,99307.3040,8875135786.1583,2.8353,2.1098,2.4976,2.3870
2026-01-24 18:00:00,99331.4860,8875437137.6262,2.8425,2.0962,2.5104,0.1420
2026-01-24 19:00:00,99472.5720,8881529887.7301,2.8395,2.0874,2.5059,0.4639
2026-01-24 20:00:00,99499.8600,8888690643.2820,2.8438,2.0873,2.5093,0.5970
2026-01-24 21:00:00,99512.7630,8890529954.0778,2.8464,2.0859,2.5078,2.7442
2026-01-24 22:00:00,99523.1110,8896370892.2900,2.8492,2.0799,2.5146,14.1443
2026-01-24 23:00:00,99585.4610,8881140017.1412,2.8531,2.0716,2.5189,0.3972
2026-01-25 00:00:00,99635.5420,8895032756.9294,2.8574,2.0789,2.5207,4.5725
2026-01-25 01:00:00,99708.1440,8887970227.9778,2.8648,2.0778,2.5152,1.6113
2026-01-25 02:00:00,99740.8880,8887411825.2400,2.8183,2.0741,2.5116,0.5307
2026-01-25 03:00:00,99873.8370,8881686259.9015,2.8303,2.0726,2.5060,1.8204
2026-01-25 04:00:00,99874.1160,8886539168.9784,2.8433,2.0775,2.5160,0.2681
2026-01-25 05:00:00,99877.9320,8885740098.3120,2.8431,2.0834,2.5122,0.7838
2026-01-25 06:00:00,99951.2810,8876673265.6100,2.8646,2.1100,2.5261,0.5873
2026-01-25 07:00:00,100058.0220,8868232946.6624,2.8716,2.1092,2.5264,0.9430
2026-01-25 08:00:00,100069.0420,8832652895.0887,2.9298,2.1288,2.5587,1.2769
2026-01-25 09:00:00,100147.9270,8849221051.6105,2.9765,2.1357,2.6041,0.9857
2026-01-25 10:00:00,100287.4700,8887110203.4501,3.0094,2.1394,2.6387,2.3249
2026-01-25 11:00:00,100325.9370,8881977715.1193,3.0126,2.1347,2.6447,0.7391
2026-01-25 12:00:00,101105.5090,8973326245.3189,3.0424,2.0932,2.6847,2.0331
2026-01-25 13:00:00,101605.4760,9030244252.9912,3.0525,2.0833,2.7021,0.7833
2026-01-25 14:00:00,102090.8870,9052658216.9039,3.0089,2.0904,2.6569,1.8627
2026-01-25 15:00:00,102138.9380,9029694952.8280,2.9841,2.0955,2.6162,1.1486
2026-01-25 16:00:00,103169.8130,9084091717.6687,3.0982,2.1155,2.6748,1.3682
2026-01-25 17:00:00,103417.2370,9084926209.2279,3.0869,2.1178,2.6662,1.3782
2026-01-25 18:00:00,103944.8520,9082207881.6475,3.1742,2.0743,2.6980,0.8815
2026-01-25 19:00:00,103407.4220,8940543661.6668,3.2188,2.0596,2.6951,0.8632
2026-01-25 20:00:00,103751.4280,8986782691.0752,3.2572,2.0414,2.7344,1.5424
2026-01-25 21:00:00,103490.5940,8954486188.2543,3.3436,1.9923,2.8159,2.6995
2026-01-25 22:00:00,102839.8000,8894521746.1800,3.3509,2.0037,2.8215,3.0495
2026-01-25 23:00:00,102177.9780,8852035857.0630,3.3870,2.0445,2.8541,1.5061
2026-01-26 00:00:00,102837.4780,8927848370.0356,3.4266,2.0658,2.9112,1.9228
2026-01-26 01:00:00,104504.8660,9161531228.2714,3.1664,2.0824,2.8855,1.0750
2026-01-26 02:00:00,103622.8540,9069072182.0800,3.1124,2.0907,2.8352,0.4638
2026-01-26 03:00:00,103406.8560,9020500610.1336,3.0651,2.0812,2.7603,0.9716
2026-01-26 04:00:00,103325.9340,9061786615.3746,3.0034,2.0667,2.7177,0.6679
2026-01-26 05:00:00,103021.2120,9042953002.7673,2.9855,2.0549,2.7043,0.2865
2026-01-26 06:00:00,102588.8330,9017835410.5491,2.9660,2.0365,2.6961,1.1778
2026-01-26 07:00:00,102429.8290,9010639384.3181,2.9112,2.0324,2.6429,0.7426
2026-01-26 08:00:00,102239.7610,8991782500.4280,2.8378,2.0230,2.5841,1.0859
2026-01-26 09:00:00,102472.6510,8979709148.9253,2.7583,2.0231,2.4907,2.1264
2026-01-26 10:00:00,102378.8960,8994805271.7819,2.7550,2.0205,2.4820,0.5358
2026-01-26 11:00:00,102300.9080,8983163074.8585,2.7303,2.0146,2.4567,0.8776
2026-01-26 12:00:00,102181.8330,8967692245.9293,2.7049,2.0175,2.4269,0.4232
2026-01-26 13:00:00,101971.8000,8965136318.0400,2.6910,2.0141,2.4143,1.0017
2026-01-26 14:00:00,102453.1450,9034051075.5867,2.6805,2.0238,2.4159,1.8058
2026-01-26 15:00:00,101778.9340,8916801518.2730,2.7204,2.0108,2.4601,0.9104
2026-01-26 16:00:00,102192.5620,8949503397.8938,2.6925,2.0285,2.4257,0.7358
2026-01-26 17:00:00,101637.0650,8909659076.8794,2.7242,1.9979,2.4514,0.5258
2026-01-26 18:00:00,102366.8160,9045826158.0132,2.6981,1.9445,2.4430,1.2462
2026-01-26 19:00:00,101735.6300,8949502356.1369,2.6704,1.9505,2.4094,1.6107
2026-01-26 20:00:00,101422.6150,8883079450.2520,2.6797,1.9633,2.4144,1.8343
2026-01-26 21:00:00,101207.1790,8909109820.8853,2.6929,1.9566,2.4317,0.6172
2026-01-26 22:00:00,101290.6040,8924173307.6222,2.6823,1.9502,2.4228,0.6524
2026-01-26 23:00:00,100909.7290,8910467454.5001,2.6421,1.9636,2.3910,0.4986
2026-01-27 00:00:00,100429.2490,8869861057.0555,2.6238,2.0025,2.3617,0.8583
2026-01-27 01:00:00,100250.4460,8874530381.5256,2.5965,2.0314,2.3368,1.1167
2026-01-27 02:00:00,100309.3200,8906351121.6603,2.6741,2.0304,2.3292,1.6027
2026-01-27 03:00:00,100220.9500,8894078141.4650,2.6378,2.0361,2.2980,2.4242
2026-01-27 04:00:00,100553.8390,8902689333.4294,2.6293,2.0022,2.2900,2.3633
2026-01-27 05:00:00,100539.5350,8890117896.7935,2.6173,1.9995,2.2698,0.8483
2026-01-27 06:00:00,100533.5100,8876646478.8540,2.5639,1.9992,2.2315,2.7140
2026-01-27 07:00:00,100485.3290,8872161201.9299,2.5773,1.9955,2.2460,0.5716
2026-01-27 08:00:00,100606.6020,8867224444.4352,2.5800,1.9972,2.2326,0.7838
2026-01-27 09:00:00,100798.3070,8855518522.4368,2.5943,2.0176,2.2283,0.5206
2026-01-27 10:00:00,101023.8190,8865274519.6717,2.6191,2.0206,2.2436,0.8422
2026-01-27 11:00:00,101134.5310,8895682098.7759,2.6954,2.0195,2.3195,0.8036
2026-01-27 12:00:00,101280.5770,8907849564.4194,2.6991,2.0187,2.3368,0.6782
2026-01-27 13:00:00,101448.0740,8921871157.5448,2.7021,2.0271,2.3341,1.8248
2026-01-27 14:00:00,102525.3040,8991584725.3911,2.7161,2.0130,2.3466,1.1840
2026-01-27 15:00:00,102990.8600,9064138842.3483,2.7614,2.0360,2.3826,0.9497
2026-01-27 16:00:00,103413.1700,9162952925.5027,2.6087,2.0369,2.2758,0.8213
2026-01-27 17:00:00,103356.0730,9044720955.0519,2.8765,2.0191,2.4880,1.9346
2026-01-27 18:00:00,103623.2930,9144403288.0538,2.8197,2.0616,2.4540,2.0736
2026-01-27 19:00:00,103353.0010,9134141857.6781,2.7397,2.0550,2.3867,0.6246
2026-01-27 20:00:00,102492.6940,9159485628.7378,2.5541,2.0554,2.2741,0.8804
2026-01-27 21:00:00,102142.2430,9094807875.8827,2.4796,2.0254,2.1909,0.3646
2026-01-27 22:00:00,101829.8440,9083537757.3164,2.4372,2.0127,2.1607,1.0387
2026-01-27 23:00:00,101896.1270,9089531741.6542,2.3832,2.0019,2.1123,0.4582
2026-01-28 00:00:00,101785.6560,9102619966.1208,2.3365,2.0006,2.0666,1.0026
2026-01-28 01:00:00,101692.4940,9087251433.0894,2.3018,1.9905,2.0344,1.2042
2026-01-28 02:00:00,101791.3110,9084583121.0085,2.3266,1.9981,2.0033,2.0949
2026-01-28 03:00:00,101862.5700,9073897363.0860,2.3214,1.9856,1.9884,0.2752
2026-01-28 04:00:00,101948.4910,9067706583.5040,2.3115,1.9823,1.9734,0.6965
2026-01-28 05:00:00,101807.5620,9066075384.4182,2.3398,1.9835,1.9989,1.4570
2026-01-28 06:00:00,101817.1010,9090485320.0325,2.3420,1.9730,2.0156,0.7570
2026-01-28 07:00:00,101883.9440,9078562409.6136,2.3319,1.9748,2.0020,0.8163
2026-01-28 08:00:00,102051.5600,9072485735.5600,2.3460,1.9833,1.9934,0.7420
2026-01-28 09:00:00,102252.6130,9150461784.4611,2.3151,1.9739,1.9898,3.0403
2026-01-28 10:00:00,102342.3230,9147062402.7423,2.3110,1.9539,1.9958,0.4653
2026-01-28 11:00:00,102009.7540,9184897044.3076,2.2738,1.9515,1.9947,1.0306
2026-01-28 12:00:00,101862.0690,9162768134.1363,2.1997,1.9449,1.9238,0.5974
2026-01-28 13:00:00,101456.8590,9153437818.9800,2.1031,1.9330,1.8606,0.8648
2026-01-28 14:00:00,101361.7810,9079795754.5961,2.1442,1.9433,1.8653,1.0229
2026-01-28 15:00:00,101251.2860,9056596287.6760,2.3019,1.9427,1.9954,0.6240
2026-01-28 16:00:00,101118.1410,9059322133.0746,2.2883,1.9565,1.9828,0.9873
2026-01-28 17:00:00,102046.7910,9198793676.4339,2.2181,1.9623,1.9443,0.6486
2026-01-28 18:00:00,101162.4760,9053973875.9216,2.2818,1.9866,1.9926,0.9495
2026-01-28 19:00:00,101327.8740,9056524340.9602,2.3073,1.9914,2.0133,0.9682
2026-01-28 20:00:00,101545.3230,9044444575.8403,2.3386,2.0166,2.0311,0.8471
2026-01-28 21:00:00,101455.5510,9066859390.6578,2.3491,2.0187,2.0391,0.8548
2026-01-28 22:00:00,101415.6310,9061431302.5525,2.3588,2.0198,2.0449,0.9089
2026-01-28 23:00:00,101533.9300,9063507488.5940,2.3596,2.0204,2.0417,1.8841
2026-01-29 00:00:00,101855.6480,9076550319.0112,2.3539,2.0263,2.0344,2.4785
2026-01-29 01:00:00,101922.9370,9026468569.7129,2.3722,2.0293,2.0368,1.3316
2026-01-29 02:00:00,102112.1050,8971385235.9107,2.5184,2.0196,2.1588,1.9110
2026-01-29 03:00:00,102139.7330,8989196458.6675,2.5884,2.0374,2.2329,1.9183
2026-01-29 04:00:00,102195.4990,9021015627.6294,2.6418,2.0582,2.2892,1.5489
2026-01-29 05:00:00,102320.3420,9019552703.0204,2.6316,2.0603,2.2758,0.6642
2026-01-29 06:00:00,102583.1260,9056161463.0312,2.6444,2.0642,2.2870,1.8724
2026-01-29 07:00:00,102599.0570,9060615062.8213,2.6675,2.0574,2.3077,1.1521
2026-01-29 08:00:00,102988.0150,9065828984.4200,2.6883,2.0635,2.3268,1.2417
2026-01-29 09:00:00,103049.1810,9052973600.0310,2.6866,2.0781,2.3207,1.1306
2026-01-29 10:00:00,103217.5230,9074916707.7987,2.7011,2.1021,2.3250,1.3694
2026-01-29 11:00:00,103646.3750,9099866786.8451,2.7275,2.1208,2.3437,1.3035
2026-01-29 12:00:00,103616.5730,9125925919.1333,2.7321,2.1130,2.3608,1.2926
2026-01-29 13:00:00,103805.5490,9135812181.3861,2.7270,2.1105,2.3569,1.3406
2026-01-29 14:00:00,104058.0290,9051674562.6518,2.8057,2.1128,2.3937,0.6539
2026-01-29 15:00:00,104510.7880,8873101765.2244,3.5115,2.0810,2.9423,1.3041
2026-01-29 16:00:00,105825.7040,9020008178.3060,3.6794,2.0556,3.1633,1.2849
2026-01-29 17:00:00,105262.4460,8864003210.2356,3.7561,2.0204,3.1746,0.6230
2026-01-29 18:00:00,105103.8920,8769805686.1448,3.7226,2.0336,3.0781,0.7418
2026-01-29 19:00:00,106326.3860,8929215467.8098,3.7958,2.0810,3.1582,1.3430
2026-01-29 20:00:00,106458.2280,8964713787.9184,3.8332,2.0522,3.2018,0.8161
2026-01-29 21:00:00,106385.9620,8988996750.4204,3.8493,2.0207,3.2504,0.6696
2026-01-29 22:00:00,106266.1780,8982626893.2510,3.8101,2.0376,3.2373,1.1749
2026-01-29 23:00:00,106511.1870,9013074911.3156,3.8266,2.0278,3.2819,0.3907
2026-01-30 00:00:00,106476.5100,8960786242.6740,3.7873,2.0493,3.2249,1.0371
2026-01-30 01:00:00,104518.4900,8616828322.9190,3.6929,2.0942,2.9743,1.1798
2026-01-30 02:00:00,103915.4910,8534682222.9492,3.5614,2.1435,3.0246,1.3515
2026-01-30 03:00:00,104332.7070,8622148805.9163,3.6030,2.1330,3.0929,1.3438
2026-01-30 04:00:00,104473.9770,8661582221.5482,3.4754,2.1078,3.0017,1.4782
2026-01-30 05:00:00,104560.8480,8665323436.7280,3.4032,2.0926,2.9426,0.4778
2026-01-30 06:00:00,104032.1410,8589688441.1489,3.3710,2.1557,2.8675,0.6316
2026-01-30 07:00:00,103796.7890,8593063067.4451,3.3783,2.1223,2.8920,1.6322
2026-01-30 08:00:00,103834.7340,8579376047.1702,3.3784,2.0916,2.9005,1.3126
2026-01-30 09:00:00,103350.2990,8508308302.5079,3.3551,2.0600,2.8802,1.7967
2026-01-30 10:00:00,103186.6370,8542561682.7962,3.3837,2.0655,2.9174,1.1017
2026-01-30 11:00:00,103508.5200,8602054852.8960,3.3817,2.0212,2.9358,1.5826
2026-01-30 12:00:00,103250.6630,8544801109.9816,3.3323,2.0214,2.8944,1.2863
2026-01-30 13:00:00,103183.2700,8533762027.0230,3.3043,1.9969,2.8727,0.7579
2026-01-30 14:00:00,103123.4750,8564198351.8000,3.2306,1.9624,2.8429,0.6175
2026-01-30 15:00:00,102467.2550,8489996140.1035,3.2179,1.9707,2.7918,0.9248
2026-01-30 16:00:00,102214.4550,8495574870.2160,3.1958,1.9862,2.7816,1.5495
2026-01-30 17:00:00,102294.7020,8481049153.4160,3.2113,1.9884,2.7911,0.7978
2026-01-30 18:00:00,101498.9040,8517975489.2640,3.1568,2.0034,2.7647,1.2467
2026-01-30 19:00:00,101161.3200,8516272042.3840,2.9885,1.9682,2.6296,0.9590
2026-01-30 20:00:00,102206.7050,8579422441.9411,2.9707,1.9498,2.6065,1.7341
2026-01-30 21:00:00,102547.5380,8645457873.1480,2.9412,1.9372,2.5826,1.0446
2026-01-30 22:00:00,102390.4570,8620365204.3327,2.9168,1.9330,2.5563,1.2771
2026-01-30 23:00:00,102164.4870,8603676558.3719,2.8761,1.9346,2.5224,0.7169
2026-01-31 00:00:00,101917.3340,8563919933.0854,2.8385,1.9156,2.4811,0.4901
2026-01-31 01:00:00,101789.7310,8546866374.1729,2.8405,1.9224,2.4660,0.8752
2026-01-31 02:00:00,102129.8970,8587643454.1935,2.8052,1.8903,2.4276,1.0773
2026-01-31 03:00:00,101993.5340,8566181936.8250,2.7876,1.8964,2.4135,0.5035
2026-01-31 04:00:00,101956.0030,8560266794.2812,2.7923,1.9016,2.4110,1.0131
2026-01-31 05:00:00,102022.2900,8565975108.5220,2.7935,1.9011,2.4095,0.7933
2026-01-31 06:00:00,101765.8530,8522384444.9076,2.8007,1.8962,2.4071,0.7702
2026-01-31 07:00:00,101255.9290,8456318031.2847,2.7886,1.9333,2.3802,1.7881
2026-01-31 08:00:00,100067.8020,8308766702.3751,2.8860,1.9365,2.4480,1.3305
2026-01-31 09:00:00,100085.5970,8314110542.7900,2.8960,1.9422,2.4625,1.4930
2026-01-31 10:00:00,100061.3080,8317195982.2680,2.9158,1.9529,2.4857,1.3339
2026-01-31 11:00:00,99953.0420,8294498785.7963,2.9065,1.9532,2.4780,3.7601
2026-01-31 12:00:00,100032.1990,8276224003.5844,2.9118,1.9540,2.4830,1.1762
2026-01-31 13:00:00,99888.1960,8264889180.5144,2.9151,1.9576,2.4723,1.8876
2026-01-31 14:00:00,100554.9190,8190439484.3556,3.0965,2.0342,2.6166,1.3262
2026-01-31 15:00:00,100965.8050,8206033125.0679,3.1781,2.0334,2.6915,0.7863
2026-01-31 16:00:00,99784.0310,8015272030.9122,3.1583,2.1067,2.6318,1.4779
2026-01-31 17:00:00,98205.3990,7744183148.9430,3.2509,2.1154,2.6016,0.9510
2026-01-31 18:00:00,95372.5670,7437753621.8321,3.1790,2.0656,2.4312,0.9997
2026-01-31 19:00:00,94546.5950,7347017349.6005,3.2429,2.0659,2.4991,1.1602
2026-01-31 20:00:00,94124.8620,7341439650.8872,3.2901,2.0331,2.5490,1.6117
